year_iso,geo_code,geo_name,peak_week,peak_date,peak_value
2020,1,Guadeloupe,2,2020-01-06,1567.1641791
2020,3,Guyane,49,2020-11-30,1461.1872146
2020,4,Réunion,11,2020-03-09,2572.1153846
2020,6,Mayotte,7,2020-02-10,2922.3744292
2020,11,Île-de-France,1,2019-12-30,1273.1481481
2020,24,Centre-Val de Loire,1,2019-12-30,2226.2334537
2020,27,Bourgogne et Franche-Comté,1,2019-12-30,1678.3216783
2020,28,Normandie,1,2019-12-30,1966.5907365
2020,32,Hauts-de-France,1,2019-12-30,1654.9295775
2020,44,Grand Est,1,2019-12-30,1656.7505721
2020,52,Pays de la Loire,1,2019-12-30,2049.0196078
2020,53,Bretagne,1,2019-12-30,2042.6829268
2020,75,Nouvelle Aquitaine,1,2019-12-30,1890.6064209
2020,76,Occitanie,1,2019-12-30,2150.8515815
2020,84,Auvergne et Rhône-Alpes,1,2019-12-30,2110.4725415
2020,93,Provence-Alpes-Côte d'Azur,1,2019-12-30,1927.8510473
2020,94,Corse,5,2020-01-27,1460.6741573
2021,1,Guadeloupe,12,2021-03-22,1769.2307692
2021,3,Guyane,42,2021-10-18,1814.516129
2021,4,Réunion,23,2021-06-07,2736.4864865
2021,6,Mayotte,24,2021-06-14,3374.2331288
2021,11,Île-de-France,47,2021-11-22,2152.5042206
2021,24,Centre-Val de Loire,47,2021-11-22,1948.5294118
2021,27,Bourgogne et Franche-Comté,48,2021-11-29,1522.0483642
2021,28,Normandie,48,2021-11-29,1733.996271
2021,32,Hauts-de-France,47,2021-11-22,1794.1529836
2021,44,Grand Est,48,2021-11-29,1599.0566038
2021,52,Pays de la Loire,48,2021-11-29,2380.952381
2021,53,Bretagne,13,2021-03-29,1997.6771196
2021,75,Nouvelle Aquitaine,48,2021-11-29,2098.5120575
2021,76,Occitanie,48,2021-11-29,2085.3658537
2021,84,Auvergne et Rhône-Alpes,48,2021-11-29,2130.8411215
2021,93,Provence-Alpes-Côte d'Azur,48,2021-11-29,2248.2517483
2021,94,Corse,44,2021-11-01,1855.6701031
2022,1,Guadeloupe,44,2022-10-31,2898.5507246
2022,3,Guyane,47,2022-11-21,2085.3080569
2022,4,Réunion,12,2022-03-21,2431.8181818
2022,6,Mayotte,6,2022-02-07,3309.8591549
2022,11,Île-de-France,44,2022-10-31,2831.1473473
2022,24,Centre-Val de Loire,47,2022-11-21,3175.3554502
2022,27,Bourgogne et Franche-Comté,49,2022-12-05,2958.2806574
2022,28,Normandie,47,2022-11-21,2538.377193
2022,32,Hauts-de-France,44,2022-10-31,2637.1022343
2022,44,Grand Est,47,2022-11-21,3331.9821646
2022,52,Pays de la Loire,47,2022-11-21,3965.1837524
2022,53,Bretagne,48,2022-11-28,2584.5620121
2022,75,Nouvelle Aquitaine,47,2022-11-21,3326.4569366
2022,76,Occitanie,48,2022-11-28,2786.4380359
2022,84,Auvergne et Rhône-Alpes,47,2022-11-21,3161.8483952
2022,93,Provence-Alpes-Côte d'Azur,48,2022-11-28,3170.063888
2022,94,Corse,50,2022-12-12,2189.3491124
2023,1,Guadeloupe,42,2023-10-16,2333.3333333
2023,2,Martinique,40,2023-10-02,2356.0209424
2023,3,Guyane,47,2023-11-20,1428.5714286
2023,4,Réunion,8,2023-02-20,2200.5571031
2023,6,Mayotte,52,2023-12-25,3333.3333333
2023,11,Île-de-France,47,2023-11-20,2546.0399227
2023,24,Centre-Val de Loire,48,2023-11-27,2643.5986159
2023,27,Bourgogne et Franche-Comté,50,2023-12-11,2259.8479613
2023,28,Normandie,47,2023-11-20,2416.5824065
2023,32,Hauts-de-France,47,2023-11-20,2386.3636364
2023,44,Grand Est,49,2023-12-04,2551.6621743
2023,52,Pays de la Loire,48,2023-11-27,3723.5915493
2023,53,Bretagne,48,2023-11-27,3285.5863921
2023,75,Nouvelle Aquitaine,48,2023-11-27,2735.4472314
2023,76,Occitanie,48,2023-11-27,2275.7999099
2023,84,Auvergne et Rhône-Alpes,49,2023-12-04,2698.6399427
2023,93,Provence-Alpes-Côte d'Azur,49,2023-12-04,2506.5104167
2023,94,Corse,51,2023-12-18,2089.5522388
2024,1,Guadeloupe,45,2024-11-04,2807.8817734
2024,2,Martinique,50,2024-12-09,2660.5504587
2024,3,Guyane,44,2024-10-28,1693.1216931
2024,4,Réunion,2,2024-01-08,1883.2891247
2024,6,Mayotte,2,2024-01-08,4196.4285714
2024,11,Île-de-France,47,2024-11-18,1931.7433127
2024,24,Centre-Val de Loire,48,2024-11-25,1855.500821
2024,27,Bourgogne et Franche-Comté,1,2024-01-01,1561.1814346
2024,28,Normandie,50,2024-12-09,1218.75
2024,32,Hauts-de-France,48,2024-11-25,1634.5441067
2024,44,Grand Est,50,2024-12-09,1567.6567657
2024,52,Pays de la Loire,51,2024-12-16,1830.8351178
2024,53,Bretagne,49,2024-12-02,1962.1749409
2024,75,Nouvelle Aquitaine,50,2024-12-09,1835.6164384
2024,76,Occitanie,51,2024-12-16,1685.2886406
2024,84,Auvergne et Rhône-Alpes,50,2024-12-09,1567.336187
2024,93,Provence-Alpes-Côte d'Azur,50,2024-12-09,2104.6600458
2024,94,Corse,51,2024-12-16,1025.6410256
2025,1,Guadeloupe,4,2025-01-20,937.5
2025,2,Martinique,1,2024-12-30,1551.7241379
2025,3,Guyane,25,2025-06-16,1479.2899408
2025,4,Réunion,1,2024-12-30,1301.9390582
2025,6,Mayotte,11,2025-03-10,1794.8717949
2025,11,Île-de-France,1,2024-12-30,875.33957139
2025,24,Centre-Val de Loire,1,2024-12-30,1237.3540856
2025,27,Bourgogne et Franche-Comté,1,2024-12-30,1523.8095238
2025,28,Normandie,1,2024-12-30,1099.3377483
2025,32,Hauts-de-France,1,2024-12-30,978.5202864
2025,44,Grand Est,1,2024-12-30,1380.8574277
2025,52,Pays de la Loire,1,2024-12-30,1254.0192926
2025,53,Bretagne,1,2024-12-30,1640.2714932
2025,75,Nouvelle Aquitaine,1,2024-12-30,1189.1558842
2025,76,Occitanie,1,2024-12-30,1462.0758483
2025,84,Auvergne et Rhône-Alpes,1,2024-12-30,1298.063024
2025,93,Provence-Alpes-Côte d'Azur,1,2024-12-30,1270.4918033
2025,94,Corse,14,2025-03-31,1269.8412698
