geo_code,geo_name,peak_week,peak_date,peak_value
1,Guadeloupe,2,2020-01-06,1567.1641791
3,Guyane,49,2020-11-30,1461.1872146
4,Réunion,11,2020-03-09,2572.1153846
6,Mayotte,7,2020-02-10,2922.3744292
11,Île-de-France,1,2019-12-30,1273.1481481
24,Centre-Val de Loire,1,2019-12-30,2226.2334537
27,Bourgogne et Franche-Comté,1,2019-12-30,1678.3216783
28,Normandie,1,2019-12-30,1966.5907365
32,Hauts-de-France,1,2019-12-30,1654.9295775
44,Grand Est,1,2019-12-30,1656.7505721
52,Pays de la Loire,1,2019-12-30,2049.0196078
53,Bretagne,1,2019-12-30,2042.6829268
75,Nouvelle Aquitaine,1,2019-12-30,1890.6064209
76,Occitanie,1,2019-12-30,2150.8515815
84,Auvergne et Rhône-Alpes,1,2019-12-30,2110.4725415
93,Provence-Alpes-Côte d'Azur,1,2019-12-30,1927.8510473
94,Corse,5,2020-01-27,1460.6741573
